loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
3770,11017094,K04106.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,0,0.708563091,1.367E-06,-1.367E-06,132.10298,0.00156,-0.00156,1.196,0.111,-0.095,6.347,0.242,-0.242,414.5,6.5,-6.5,0.217374,0.092888,-0.110086,0.06861,0.0137,-0.02126,LS+MCMC,15.38,2.07,-0.95,0.0139,,,11.64,,,1587,,,1501.41,645.35,-330.22,1.221,0.244,-0.244,90.8,1,1515,1,q1_q17_dr25_tce,5271,141,-157,4.669,0.027,-0.082,0.648,0.087,-0.04,0.718,0.063,-0.063,284.74942,48.558128,15.017
3771,3129238,K07645.01,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,2.00870696,3.039E-05,-3.039E-05,131.51,0.0105,-0.0105,0.194,0.272,-0.194,4.87,0.367,-0.367,53.5,5.1,-5.1,0.006628,0.000319,-0.000488,0.14955,0.19851,-0.055,LS+MCMC,0.55,0.08,-0.07,0.0278,,,86.5,,,1232,,,542.87,257.21,-173.59,3.17,1.4,-1.4,12.2,1,0,1,q1_q17_dr25_tce,5341,143,-159,4.526,0.099,-0.121,0.759,0.115,-0.094,0.705,0.102,-0.044,294.3035,38.203011,12.334
3772,5956633,K04107.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,366.24282,0.02104,-0.02104,307.2714,0.0361,-0.0361,0.235,0.2263,-0.2349,15.76,1.9,-1.9,733.7,78.3,-78.3,0.024655,0.001725,-0.001394,0.78305,0.30394,-0.52389,MCMC,2.4,0.78,-0.18,1.006,,,89.95,,,237,,,0.75,0.72,-0.18,177.1,68.7,-68.7,18.2,1,,,,5713,158,-169,4.541,0.026,-0.25,0.893,0.288,-0.069,1.01,0.085,-0.123,290.60129,41.26902,15.501
3773,9899065,K04108.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.33256418,1.964E-05,-1.964E-05,132.0473,0.0122,-0.0122,0.559,0.044,-0.486,4.701,0.357,-0.357,162.3,10.3,-10.3,0.012001,0.000298,-0.000814,0.08191,0.08854,-0.00972,LS+MCMC,0.81,0.07,-0.06,0.0201,,,73.54,,,1262,,,602.26,198.51,-156.83,1.974,0.711,-0.711,20.7,1,852,1,q1_q17_dr25_tce,5157,178,-178,4.641,0.066,-0.039,0.62,0.048,-0.048,0.614,0.057,-0.026,295.10251,46.732922,15.86
3774,7907808,K04109.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,0.655939788,2.046E-06,-2.046E-06,132.09997,0.00226,-0.00226,0.301,0.147,-0.301,1.318,0.0811,-0.0811,73,4.8,-4.8,0.007708,0.000314,-0.000454,2.24633,0.81323,-0.67443,LS+MCMC,1.48,0.81,-0.82,0.0145,,,85.34,,,2411,,,7986.43,13683.95,-6554.12,3.71,1.3,-1.3,18.7,1,2037,1,q1_q17_dr25_tce,4968,149,-134,3.924,0.665,-0.285,1.755,0.97,-0.97,0.944,0.194,-0.159,297.08301,43.679951,14.511
3775,5471792,K04110.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,1,1,12.4258833,0.0003119,-0.0003119,141.5008,0.0246,-0.0246,0.982,0.006,-0.018,24.83,2.1,-2.1,93.6,3.6,-3.6,0.01231,0.000315,-0.000861,0.00031,0.00013,-0.00011,LS+MCMC,2.19,0.98,-1.18,0.0988,,,43.89,,,1006,,,242.04,337.06,-196.65,1.363,0.571,-0.571,34.4,1,112,1,q1_q17_dr25_tce,5611,197,-157,3.933,0.66,-0.264,1.632,0.724,-0.884,0.832,0.113,-0.093,297.75125,40.647388,13.369
3776,11145831,K04039.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.387838134,6.049E-06,-6.049E-06,132.11351,0.00318,-0.00318,0.38,0.089,-0.38,2.252,0.106,-0.106,136.8,8.1,-8.1,0.010903,0.000403,-0.000438,0.87161,0.42063,-0.20547,LS+MCMC,1.24,0.4,-0.13,0.0252,,,85.11,,,1783,,,2378.53,2254.18,-734.13,4.46,2.2,-2.2,20.4,1,963,1,q1_q17_dr25_tce,6273,175,-219,4.442,0.054,-0.216,1.044,0.335,-0.112,1.099,0.158,-0.144,295.64212,48.773071,15.167
3777,11444952,K04040.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,0.678349364,5.509E-06,-5.509E-06,132.16318,0.0066,-0.0066,1.187,1.638,-0.22,3.092,0.463,-0.463,486,50.8,-50.8,0.210526,1.648405,-0.185816,0.08242,0.88784,-0.02981,LS+MCMC,19.06,4.62,-1.54,0.0147,,,19.79,,,1844,,,2737.73,1959.31,-688.35,1.261,0.617,-0.617,12,1,1572,1,q1_q17_dr25_tce,5569,149,-166,4.566,0.03,-0.17,0.829,0.201,-0.067,0.928,0.081,-0.102,285.81662,49.352699,14.261
3778,8647295,K04041.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,1.022028468,1.25E-06,-1.25E-06,132.3717,0.00101,-0.00101,1.247,0.119,-0.074,8.866,0.175,-0.175,1344.5,9.9,-9.9,0.288227,0.117508,-0.068348,0.03951,0.00995,-0.00766,LS+MCMC,26.91,5.41,-3.62,0.0181,,,15.94,,,1649,,,1755.39,1092.44,-590.09,1.297,0.327,-0.327,184.5,1,1312,1,q1_q17_dr25_tce,5445,162,-162,4.456,0.126,-0.168,0.855,0.172,-0.115,0.762,0.122,-0.052,298.84119,44.749889,14.592
3779,3444098,K04042.01,,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,0.72359699,2.471E-05,-2.471E-05,131.57754,0.005,-0.005,0.608,0.361,-0.38,1.326,0.114,-0.114,495.6,42.6,-42.6,0.02155,0.000449,-0.001732,1.56045,1.87603,-0.22518,LS+MCMC,6.73,1.61,-3,0.0198,,,80.03,,,4699,,,114645.28,82606.31,-85077.56,3.51,1.4,-1.4,14.8,1,238,1,q1_q17_dr25_tce,8855,251,-376,3.818,0.408,-0.102,2.858,0.687,-1.275,1.964,0.399,-0.439,291.55807,38.546219,14.338
