,Kepler ID
1022,1864963
1023,1864987
1024,1864998
1025,1865042
1026,1865087
1027,1865102
1028,1865110
1029,1865136
1030,1865152
1031,1865159
1032,1865174
1033,1865188
1034,1865206
1035,1865214
1036,1865231
1037,1865262
1038,1865273
1039,1865305
1040,1865323
1041,1865325
1042,1865448
1043,1865477
1044,1865519
1045,1865527
1046,1865567
1047,1865590
1048,1865595
1049,1865643
1050,1865663
1051,1865674
1052,1865698
1053,1865744
1054,1865747
1055,1865864
1056,1865910
1057,1865925
1058,1866058
1059,1866137
1060,1866174
1061,1866182
1062,1866234
1063,1866235
1064,1866252
1065,1866361
1066,1866366
1067,1866535
1068,1866732
1069,1866734
1070,1866749
1071,1866778
1072,1866842
1073,1866924
1074,1866985
1075,1866986
1076,1867078
1077,1867112
1078,1867120
1079,1867210
1080,1867333
1081,1867358
1082,1867462
1083,1867489
1084,1867521
1085,1867532
1086,1867553
1087,1867559
1088,1867630
1089,1867645
1090,1867684
1091,1867702
1092,1867706
1093,1867740
1094,1867844
1095,1867921
1096,1867991
1097,1868008
1098,1868018
1099,1868075
1100,1868101
1101,1868233
1102,1868259
1103,1868303
1104,1868404
1105,1868457
1106,1868524
1107,1868579
1108,1868650
1109,1868676
1110,1868785
1111,1868792
1112,1868918
1113,1869025
1114,1869151
1115,1869183
1116,1869231
1117,1869327
1118,1869352
1119,1869371
1120,1869400
1121,1869469
1122,1869499
1123,1869510
1124,1869607
1125,1869673
1126,1869783
1127,1869817
1128,1869922
1129,1869933
1130,1870028
1131,1870057
1132,1870062
1133,1870144
1134,1870162
1135,1870196
1136,1870225
1137,1870234
1138,1870375
1139,1870385
1140,1870398
1141,1870424
1142,1870433
1143,1870445
1144,1870480
1145,1870495
1146,1870683
1147,1870710
1148,1870714
1149,1870743
1150,1870769
1151,1870795
1152,1870799
1153,1870849
1154,1870914
1155,1870952
1156,1870957
1157,1871056
1158,1871091
1159,1871103
1160,1871120
1161,1871148
1162,1871176
1163,1871290
1164,1871314
1165,1871358
1166,1871438
1167,1871465
1168,1871483
1169,1871487
1170,1871517
1171,1871555
1172,1871571
1173,1871579
1174,1871588
1175,1871631
1176,1871665
1177,1871678
1178,1871759
1179,1871763
1180,1871815
1181,1871880
1182,1871888
1183,1871927
1184,1871967
1185,1871981
1186,1871995
1187,1872012
1188,1872078
1189,1872084
1190,1872154
1191,1872157
1192,1872161
1193,1872166
1194,1872189
1195,1872192
1196,1872199
1197,1872210
1198,1872244
1199,1872262
1200,1872289
1201,1872324
1202,1872340
1203,1872347
1204,1872349
1205,1872368
1206,1872375
1207,1872421
1208,1872433
1209,1872469
1210,1872499
1211,1872517
1212,1872530
1213,1872543
1214,1872547
1215,1872561
1216,1872612
1217,1872613
1218,1872666
1219,1872688
1220,1872723
1221,1872749
1222,1872752
1223,1872770
1224,1872781
1225,1872802
1226,1872821
1227,1872842
1228,1872869
1229,1872885
1230,1872909
1231,1872948
1232,1872956
1233,1872974
1234,1873030
1235,1873157
1236,1873187
1237,1873198
1238,1873204
1239,1873268
1240,1873351
1241,1873367
1242,1873370
1243,1873493
1244,1873510
1245,1873513
1246,1873523
1247,1873543
1248,1873552
1249,1873583
1250,1873589
1251,1873656
1252,1873689
1253,1873703
1254,1873753
1255,1873754
1256,1873755
1257,1873779
1258,1873823
1259,1873895
1260,1873898
1261,1873918
1262,1873925
1263,1873986
1264,1873987
1265,1874014
1266,1874094
1267,1874101
1268,1874268
1269,1874294
1270,1874333
1271,1874365
1272,1874384
1273,1874623
1274,1995038
1275,1995080
1276,1995089
1277,1995126
1278,1995130
1279,1995140
1280,1995155
1281,1995168
1282,1995192
1283,1995195
1284,1995248
1285,1995305
1286,1995315
1287,1995316
1288,1995323
1289,1995340
1290,1995351
1291,1995358
1292,1995360
1293,1995430
1294,1995431
1295,1995443
1296,1995461
1297,1995489
1298,1995493
1299,1995519
1300,1995522
1301,1995526
1302,1995535
1303,1995622
1304,1995656
1305,1995666
1306,1995668
1307,1995710
1308,1995712
1309,1995732
1310,1995787
1311,1995789
1312,1995796
1313,1995807
1314,1995840
1315,1995845
1316,1995859
1317,1995862
1318,1995908
1319,1995910
1320,1996021
1321,1996047
1322,1996078
1323,1996088
1324,1996121
1325,1996162
1326,1996169
1327,1996180
1328,1996181
1329,1996214
1330,1996240
1331,1996260
1332,1996272
1333,1996273
1334,1996399
1335,1996405
1336,1996408
1337,1996415
1338,1996456
1339,1996473
1340,1996492
1341,1996497
1342,1996574
1343,1996628
1344,1996637
1345,1996668
1346,1996679
1347,1996716
1348,1996719
1349,1996721
1350,1996728
1351,1996760
1352,1996773
1353,1996818
1354,1996859
1355,1996936
1356,1997009
1357,1997127
1358,2010051
1359,2010071
1360,2010137
1361,2010138
1362,2010152
1363,2010161
1364,2010191
1365,2010256
1366,2010345
1367,2010366
1368,2010374
1369,2010379
1370,2010414
1371,2010471
1372,2010509
1373,2010577
1374,2010579
1375,2010593
1376,2010594
1377,2010607
1378,2010658
1379,2010702
1380,2010736
1381,2010738
1382,2010835
1383,2010855
1384,2010931
1385,2010992
1386,2011042
1387,2011048
1388,2011059
1389,2011145
1390,2011160
1391,2011178
1392,2011185
1393,2011214
1394,2011314
1395,2011347
1396,2011352
1397,2011354
1398,2011406
1399,2011411
1400,2011417
1401,2011424
1402,2011428
1403,2011440
1404,2011444
1405,2011504
1406,2011533
1407,2011545
1408,2011556
1409,2011574
1410,2011582
1411,2011618
1412,2011641
1413,2011649
1414,2011675
1415,2011824
1416,2011827
1417,2011870
1418,2011878
1419,2011883
1420,2011887
1421,2011891
1422,2011901
1423,2011905
1424,2011908
1425,2011945
1426,2011991
1427,2012005
1428,2012065
1429,2012083
1430,2012090
1431,2012093
1432,2012186
1433,2012214
1434,2012216
1435,2012265
1436,2012273
1437,2012362
1438,2012377
1439,2012416
1440,2012426
1441,2012486
1442,2012563
1443,2012565
1444,2012622
1445,2012631
1446,2012640
1447,2012664
1448,2012690
1449,2012696
1450,2012722
1451,2012724
1452,2012731
1453,2012816
1454,2012821
1455,2012826
1456,2012841
1457,2012932
1458,2012983
1459,2013000
1460,2013145
1461,2013263
1462,2013284
1463,2013305
1464,2013368
1465,2013385
1466,2013402
1467,2013502
1468,2013503
1469,2013530
1470,2013564
1471,2013577
1472,2013590
1473,2013620
1474,2013627
1475,2013651
1476,2013754
1477,2013783
1478,2013790
1479,2013833
1480,2013843
1481,2013874
1482,2013883
1483,2014003
1484,2014065
1485,2014087
1486,2014203
1487,2014229
1488,2014282
1489,2014347
1490,2014377
1491,2014533
1492,2014544
1493,2014616
1494,2014684
1495,2014700
1496,2014737
1497,2014991
1498,2015013
1499,2015025
1500,2015035
1501,2015098
1502,2015124
1503,2015135
1504,2015138
1505,2015262
1506,2015302
1507,2015347
1508,2015385
1509,2015388
1510,2015424
1511,2015432
1512,2015501
1513,2015595
1514,2015616
1515,2015639
1516,2015659
1517,2015669
1518,2015703
1519,2015767
1520,2015820
1521,2015864
1522,2015883
1523,2015983
1524,2016026
1525,2016056
1526,2016104
1527,2016171
1528,2016219
1529,2016241
1530,2016248
1531,2016295
1532,2016319
1533,2016447
1534,2016452
1535,2016492
1536,2016522
1537,2016599
1538,2016657
1539,2016676
1540,2016678
1541,2016691
1542,2016706
1543,2016814
1544,2016946
1545,2016978
1546,2016979
1547,2017015
1548,2017075
1549,2017135
1550,2017157
1551,2017161
1552,2017221
1553,2017224
1554,2017246
1555,2017470
1556,2017507
1557,2017529
1558,2017534
1559,2017541
1560,2017570
1561,2017646
1562,2017659
1563,2017692
1564,2017739
1565,2017803
1566,2017860
1567,2017864
1568,2017962
1569,2017981
1570,2017988
1571,2018007
1572,2018044
1573,2018047
1574,2018063
1575,2018112
1576,2018169
1577,2018261
1578,2018280
1579,2018281
1580,2018283
1581,2018304
1582,2018310
1583,2018350
1584,2018383
1585,2018392
1586,2018420
1587,2018432
1588,2018437
1589,2018446
1590,2018481
1591,2018492
1592,2018537
1593,2018541
1594,2018585
1595,2018594
1596,2018619
1597,2018631
1598,2018642
1599,2018667
1600,2018677
1601,2018685
1602,2018701
1603,2018709
1604,2018739
1605,2018760
1606,2018799
1607,2018827
1608,2018855
1609,2018868
1610,2018906
1611,2018927
1612,2018930
1613,2018931
1614,2018949
1615,2019050
1616,2019076
1617,2019109
1618,2019140
1619,2019174
1620,2019199
1621,2019227
1622,2019230
1623,2019239
1624,2019258
1625,2019297
1626,2019316
1627,2019349
1628,2019352
1629,2019396
1630,2019444
1631,2019477
1632,2019481
1633,2019504
1634,2019518
1635,2019542
1636,2019553
1637,2019556
1638,2019575
1639,2019608
1640,2019658
1641,2019662
1642,2019709
1643,2019713
1644,2019720
1645,2019761
1646,2019828
1647,2019865
1648,2019877
1649,2019881
1650,2019893
1651,2019900
1652,2019912
1653,2019928
1654,2019959
1655,2019979
1656,2020029
1657,2020086
1658,2020175
1659,2020185
1660,2020280
1661,2020307
1662,2020364
1663,2020383
1664,2020387
1665,2020393
1666,2020437
1667,2020439
1668,2020444
1669,2020452
1670,2020463
1671,2020498
1672,2020581
1673,2020638
1674,2020703
1675,2020725
1676,2020763
1677,2020811
1678,2020818
1679,2020820
1680,2020830
1681,2020876
1682,2020966
1683,2020997
1684,2021060
1685,2021099
1686,2021100
1687,2021157
1688,2021161
1689,2021165
1690,2021174
1691,2021216
1692,2021440
1693,2021457
1694,2021470
1695,2021488
1696,2021501
1697,2021571
1698,2021633
1699,2021643
1700,2021736
1701,2140360
1702,2140389
1703,2140424
1704,2140446
1705,2140491
1706,2140493
1707,2140538
1708,2140552
1709,2140561
1710,2140601
1711,2140621
1712,2140642
1713,2140644
1714,2140651
1715,2140686
1716,2140780
1717,2140782
1718,2140807
1719,2140841
1720,2140862
1721,2140897
1722,2140909
1723,2140937
1724,2140955
1725,2140982
1726,2141003
1727,2141150
1728,2141152
1729,2141175
1730,2141179
1731,2141193
1732,2141255
1733,2141318
1734,2141339
1735,2141385
1736,2141387
1737,2141401
1738,2141413
1739,2141436
1740,2141466
1741,2141544
1742,2141652
1743,2141655
1744,2141658
1745,2141692
1746,2141697
1747,2141736
1748,2141746
1749,2141753
1750,2141781
1751,2141783
1752,2141787
1753,2141812
1754,2141852
1755,2141865
1756,2141927
1757,2141928
1758,2141932
1759,2141938
1760,2141950
1761,2141959
1762,2142026
1763,2142052
1764,2142070
1765,2142074
1766,2142080
1767,2142091
1768,2142095
1769,2142111
1770,2142183
1771,2142186
1772,2142191
1773,2142244
1774,2142272
1775,2142279
1776,2142280
1777,2142372
1778,2142405
1779,2142433
1780,2142451
1781,2142490
