,kepid,kepoi_name,kepler_name,koi_disposition,koi_score (1 = planet),orbital_period (days),planet_radius(to_Earth),planet_star_dist (AU),planet_canidates,num_accecpted_koi,sun_radius (solar_radii),sun_mass (solar_mass)
1690,8681734,K02340.01,Kepler-1198 b,CONFIRMED,1.0,7.68478504,1.47,24.328000000000007,1,1.0,0.907,0.884
1692,10212441,K02342.01,Kepler-1199 b,CONFIRMED,1.0,15.0447098,1.51,19.92,2,1.0,1.525,0.899
1694,8247771,K02344.01,Kepler-1200 b,CONFIRMED,0.999,1.118547814,0.98,5.48,1,1.0,0.6579999999999999,0.725
1695,8165946,K02105.01,Kepler-1100 b,CONFIRMED,1.0,6.42199919,1.25,18.21,1,1.0,0.981,1.03
1696,12017109,K02106.01,Kepler-1679 b,CONFIRMED,1.0,9.75374033,1.87,30.96,1,1.0,0.899,0.996
1697,9225395,K02107.01,Kepler-1101 b,CONFIRMED,0.979,81.3153052,2.55,109.53,1,1.0,0.975,0.852
1698,10709622,K02108.01,Kepler-1102 b,CONFIRMED,0.998,51.3283527,3.06,35.4,1,1.0,1.119,1.027
1699,11499228,K02109.01,Kepler-1103 b,CONFIRMED,1.0,19.7919389,2.58,14.76,1,1.0,1.039,1.084
1700,9022166,K02175.01,Kepler-368 b,CONFIRMED,0.989,26.8475962,3.2,18.47,2,1.0,1.988,1.136
1701,10965588,K02177.01,Kepler-1132 b,CONFIRMED,1.0,62.8917493,2.5,56.9,1,1.0,0.855,0.805
1702,10670119,K02179.01,Kepler-369 c,CONFIRMED,0.998,14.87149773,1.59,48.5,2,1.0,0.524,0.561
1703,10670119,K02179.02,Kepler-369 b,CONFIRMED,0.992,2.732767897,1.42,13.21,2,2.0,0.524,0.561
1705,8491277,K00234.01,Kepler-498 b,CONFIRMED,1.0,9.61375316,3.27,13.13,1,1.0,1.11,1.037
1708,12256520,K02264.01,Kepler-1166 b,CONFIRMED,0.999,33.2407985,1.51,53.78,2,1.0,0.8270000000000001,0.928
1710,5629538,K02345.01,Kepler-1201 b,CONFIRMED,0.991,15.18727049,1.94,14.87,1,1.0,1.005,0.956
1711,8561231,K02346.01,Kepler-1202 b,CONFIRMED,0.999,28.6853212,2.69,15.91,1,1.0,0.838,0.93
1712,8235924,K02347.01,Kepler-1203 b,CONFIRMED,0.15,0.5880010529999999,0.99,3.72,1,1.0,0.57,0.5760000000000001
1713,6941084,K02348.01,Kepler-1204 b,CONFIRMED,0.99,85.7357202,2.94,88.01,1,1.0,1.077,1.054
1714,6200235,K02350.01,Kepler-1205 b,CONFIRMED,1.0,1.078389713,1.98,3.6,1,1.0,0.985,0.857
1715,11460462,K02110.01,Kepler-1104 b,CONFIRMED,0.998,5.03728033,1.55,5.95,1,1.0,1.381,1.306
1716,8612275,K02111.01,Kepler-360 b,CONFIRMED,1.0,3.289726319,1.37,10.948,2,1.0,0.91,0.937
1717,8612275,K02111.02,Kepler-360 c,CONFIRMED,1.0,7.18644594,2.19,18.3,2,2.0,0.91,0.937
1718,7207061,K02113.01,Kepler-417 c,CONFIRMED,1.0,15.94248453,2.62,35.937,2,1.0,0.8059999999999999,0.897
1719,4545187,K00223.02,Kepler-121 c,CONFIRMED,1.0,41.0081117,2.64,39.2,2,2.0,0.708,0.785
1720,7286911,K02180.01,Kepler-1133 b,CONFIRMED,0.99,11.55562042,2.11,28.0,1,1.0,0.85,0.945
1722,6962109,K02182.01,Kepler-1134 b,CONFIRMED,0.969,17.13263125,2.31,42.09,1,1.0,0.794,0.8759999999999999
1723,5706595,K02183.01,Kepler-370 c,CONFIRMED,1.0,19.0231361,2.04,31.5,3,1.0,0.954,0.955
1724,5706595,K02183.02,Kepler-370 b,CONFIRMED,1.0,4.57948235,1.35,11.407,3,2.0,0.954,0.955
1725,10489345,K02266.01,Kepler-1167 b,CONFIRMED,1.0,1.003931703,1.6,5.477,1,1.0,0.741,0.715
1727,10329469,K02271.01,Kepler-1168 b,CONFIRMED,0.998,55.82247750000001,2.13,80.19,1,1.0,0.736,0.8170000000000001
1729,9717943,K02273.01,Kepler-1169 b,CONFIRMED,0.999,6.11010439,0.93,19.5,1,1.0,1.195,1.27
1730,8026752,K00240.01,Kepler-502 b,CONFIRMED,0.006999999999999999,4.286866229,4.14,5.25,1,1.0,1.0490000000000002,1.107
1732,8013439,K02352.01,Kepler-381 c,CONFIRMED,1.0,13.39155154,1.58,25.7,3,2.0,2.188,1.198
1733,8013439,K02352.02,Kepler-381 b,CONFIRMED,1.0,5.62904396,1.39,11.29,3,1.0,2.188,1.198
