,kepid,kepoi_name,kepler_name,koi_disposition,koi_score (1 = planet),orbital_period (days),planet_radius(to_Earth),planet_star_dist (AU),planet_canidates,num_accecpted_koi,sun_radius (solar_radii),sun_mass (solar_mass)
2135,3861595,K00004.01,Kepler-1658 b,CONFIRMED,1.0,3.849371737,12.94,5.6,1,1.0,2.992,1.482
2137,10489206,K00251.01,Kepler-125 b,CONFIRMED,1.0,4.164384505,2.54,14.89,2,1.0,0.508,0.534
2138,3426367,K02662.01,Kepler-1308 b,CONFIRMED,1.0,2.10433534,0.79,7.58,1,1.0,0.433,0.47
2139,5562090,K02664.01,Kepler-1309 b,CONFIRMED,0.998,28.8431751,2.66,33.3,1,1.0,0.785,0.758
2145,6867555,K02439.01,Kepler-1239 b,CONFIRMED,1.0,5.19103699,1.92,9.496,2,1.0,1.125,1.207
2146,5339567,K02440.01,Kepler-1240 b,CONFIRMED,0.984,4.86638504,1.32,16.13,1,1.0,1.111,0.969
2148,11080405,K02442.01,Kepler-386 c,CONFIRMED,0.999,25.1933989,1.95,31.8,2,1.0,0.84,0.797
2151,10059645,K02520.01,Kepler-1265 b,CONFIRMED,0.965,6.49441464,1.75,9.82,1,1.0,0.742,0.7240000000000001
2152,5364071,K00248.03,Kepler-49 d,CONFIRMED,1.0,2.576571021,1.57,12.44,4,2.0,0.539,0.541
2153,7183745,K02521.01,Kepler-1266 b,CONFIRMED,1.0,28.4750006,2.64,27.8,2,1.0,0.831,0.7909999999999999
2154,8212002,K02593.01,Kepler-1285 b,CONFIRMED,1.0,14.7966306,0.98,19.95,2,1.0,1.307,1.244
2155,8004903,K02594.01,Kepler-1286 b,CONFIRMED,0.993,11.25401871,2.42,14.88,1,1.0,1.118,1.022
2156,8883329,K02595.01,Kepler-393 b,CONFIRMED,0.993,9.18244299,1.24,15.86,2,1.0,1.314,1.098
2157,8883329,K02595.02,Kepler-393 c,CONFIRMED,0.932,14.613478099999998,1.12,21.3,2,2.0,1.314,1.098
2159,11253827,K02672.02,Kepler-396 b,CONFIRMED,1.0,42.9923284,3.32,56.1,2,1.0,0.945,0.918
2160,5514383,K00257.01,Kepler-506 b,CONFIRMED,1.0,6.88341278,2.63,25.87,1,1.0,1.193,1.19
2163,8022489,K02674.02,Kepler-1311 b,CONFIRMED,0.986,11.172672300000002,1.5,12.22,3,3.0,1.6740000000000002,1.032
2164,8022489,K02674.03,Kepler-1311 c,CONFIRMED,0.999,2.53573284,1.36,4.9207,3,2.0,1.6740000000000002,1.032
2165,9209624,K02443.01,Kepler-387 b,CONFIRMED,0.996,6.79164656,1.01,15.56,2,1.0,1.003,0.8240000000000001
2166,9209624,K02443.02,Kepler-387 c,CONFIRMED,0.991,11.8376933,1.0,22.53,2,2.0,1.003,0.8240000000000001
2167,3354846,K02444.01,Kepler-1241 b,CONFIRMED,0.995,18.5525162,2.53,21.7,1,1.0,0.8290000000000001,0.928
2169,8478994,K00245.03,Kepler-37 b,CONFIRMED,,13.366930900000002,0.27,25.1,4,,0.772,0.8029999999999999
2173,7778767,K02523.01,Kepler-1267 b,CONFIRMED,0.998,13.0313583,2.88,13.76,2,1.0,1.071,0.926
2174,7515762,K02524.01,Kepler-1268 b,CONFIRMED,0.951,40.99050020000001,2.41,43.31,1,1.0,1.41,1.072
2176,12120307,K02597.01,Kepler-394 b,CONFIRMED,0.996,8.00504749,1.52,18.64,3,1.0,1.101,1.141
2177,12120307,K02597.02,Kepler-394 c,CONFIRMED,0.969,12.13070414,1.61,24.36,3,3.0,1.101,1.141
2182,11701407,K02376.01,Kepler-1214 b,CONFIRMED,0.942,18.8262877,2.34,61.74,1,1.0,0.845,0.787
2184,11288051,K00241.03,Kepler-124 b,CONFIRMED,1.0,3.41045981,1.06,2.85,3,3.0,0.6509999999999999,0.715
2185,10813132,K02378.01,Kepler-1215 b,CONFIRMED,0.836,4.76702759,1.19,18.26,1,1.0,0.937,0.8640000000000001
2186,5857540,K02448.01,Kepler-1242 b,CONFIRMED,1.0,13.62801048,3.28,13.58,1,1.0,0.855,0.805
2188,7289317,K02450.01,Kepler-1243 b,CONFIRMED,0.968,16.83203175,1.86,27.64,2,1.0,1.008,0.932
2194,8463346,K02529.01,Kepler-436 c,CONFIRMED,0.982,16.79716262,2.75,17.27,2,1.0,0.6970000000000001,0.7340000000000001
2195,5364071,K00248.04,Kepler-49 e,CONFIRMED,0.999,18.59611518,1.53,63.23,4,4.0,0.539,0.541
2196,10489206,K00251.02,Kepler-125 c,CONFIRMED,0.997,5.77440326,0.8,23.0,2,2.0,0.508,0.534
2198,10068659,K02602.01,Kepler-1287 b,CONFIRMED,0.993,11.47685263,1.58,32.19,1,1.0,1.032,0.941
2205,9395024,K02383.01,Kepler-1216 b,CONFIRMED,0.998,4.37033233,1.56,11.84,1,1.0,1.182,0.975
2210,8478994,K00245.04,Kepler-37 e,CONFIRMED,,51.20690303,,,4,,,
2211,9753154,K02457.01,Kepler-1244 b,CONFIRMED,0.999,3.70429015,1.45,8.475,1,1.0,1.927,1.23
2212,9011825,K02530.01,Kepler-1269 b,CONFIRMED,0.996,37.3331165,2.5,20.65,1,1.0,1.588,1.104
2215,11074835,K02533.01,Kepler-1270 b,CONFIRMED,0.95,6.03355539,3.34,4.387,3,1.0,3.588,1.0659999999999998
2216,1996180,K02534.01,Kepler-1271 b,CONFIRMED,0.999,3.02558494,1.62,4.45,2,1.0,1.263,1.0659999999999998
2220,6269070,K02608.01,Kepler-1288 b,CONFIRMED,0.985,2.7612237,1.84,5.64,1,1.0,2.232,1.436
2225,12254378,K02387.01,Kepler-1217 b,CONFIRMED,0.999,2.032319072,1.87,9.353,1,1.0,1.05,1.114
2227,7604328,K02458.01,Kepler-1245 b,CONFIRMED,0.998,4.35407371,1.63,9.68,2,2.0,0.909,0.795
2228,11236244,K02460.01,Kepler-1246 b,CONFIRMED,0.956,11.32269749,1.51,9.2,1,1.0,0.642,0.634
2229,9837685,K02461.01,Kepler-1247 b,CONFIRMED,1.0,13.71218522,2.47,33.1,1,1.0,0.831,0.923
2231,12454461,K02463.01,Kepler-1248 b,CONFIRMED,0.743,7.46718958,1.04,13.88,1,1.0,1.169,1.251
2234,3728701,K02536.01,Kepler-1272 b,CONFIRMED,0.883,51.1319346,2.43,38.6,1,1.0,1.107,1.005
2237,9390653,K00249.01,Kepler-504 b,CONFIRMED,1.0,9.549277089,1.57,47.77,1,1.0,0.369,0.396
2239,11187837,K00252.01,Kepler-1663 b,CONFIRMED,1.0,17.60461401,2.64,27.7,1,1.0,0.516,0.529
2242,8025596,K02615.01,Kepler-1290 b,CONFIRMED,0.997,4.69505576,1.49,11.67,1,1.0,0.959,1.045
2246,8494617,K02389.01,Kepler-1218 b,CONFIRMED,0.993,22.9221181,1.33,17.36,1,1.0,1.081,0.97
2247,10289119,K02390.01,Kepler-1219 b,CONFIRMED,0.99,16.10474503,3.21,21.23,1,1.0,2.886,1.464
2248,7382313,K02392.01,Kepler-1220 b,CONFIRMED,0.975,7.42697378,1.4,16.92,1,1.0,0.982,0.957
2251,8544992,K02466.01,Kepler-388 b,CONFIRMED,0.997,3.17323012,0.88,12.83,2,1.0,0.633,0.626
2252,8544992,K02466.02,Kepler-388 c,CONFIRMED,0.94,13.2970695,0.91,31.34,2,2.0,0.633,0.626
2253,11295426,K00246.01,Kepler-68 b,CONFIRMED,1.0,5.398752862,2.21,12.239,2,1.0,1.198,0.997
2256,12306058,K02541.01,Kepler-391 b,CONFIRMED,0.868,7.41683033,3.36,4.05,2,1.0,3.324,1.136
2259,4915638,K02617.01,Kepler-1291 b,CONFIRMED,1.0,8.63050092,1.43,17.32,1,1.0,0.764,0.857
2261,8081905,K02619.01,Kepler-1292 b,CONFIRMED,1.0,3.27645723,1.71,11.479,1,1.0,0.963,1.079
2266,9269042,K02397.01,Kepler-1221 b,CONFIRMED,0.997,12.00089667,1.47,23.25,1,1.0,0.69,0.688
2268,11461433,K02399.01,Kepler-1222 b,CONFIRMED,0.997,1.916940872,0.89,9.53,1,1.0,0.872,0.815
2270,8380709,K02468.01,Kepler-1249 b,CONFIRMED,0.997,24.3344939,1.74,28.82,1,1.0,0.967,1.045
2274,8676148,K02544.01,Kepler-1273 b,CONFIRMED,1.0,28.6253502,2.38,49.16,1,1.0,0.941,1.038
2275,9696358,K02545.01,Kepler-1274 b,CONFIRMED,0.7390000000000001,6.98141327,1.42,5.97,1,1.0,2.1630000000000003,1.429
2279,9757613,K00250.01,Kepler-26 b,CONFIRMED,1.0,12.282998287,2.83,36.27,4,1.0,0.537,0.537
2282,10916600,K02623.01,Kepler-1293 b,CONFIRMED,0.994,5.57654782,0.92,10.47,2,1.0,1.238,1.23
2283,8429314,K02624.01,Kepler-1294 b,CONFIRMED,0.997,115.6863392,3.52,190.6,1,1.0,1.149,1.021
2284,9153570,K02625.01,Kepler-1295 b,CONFIRMED,0.95,3.81371423,1.37,14.31,1,1.0,0.82,0.918
2285,11768142,K02626.01,Kepler-1652 b,CONFIRMED,0.999,38.0970717,1.58,27.6,1,1.0,0.398,0.426
2289,8481129,K02402.01,Kepler-1223 b,CONFIRMED,0.992,16.3012727,1.54,16.04,1,1.0,0.7959999999999999,0.836
2290,2142522,K02403.01,Kepler-1224 b,CONFIRMED,0.757,13.32354078,1.32,25.88,1,1.0,1.218,1.194
2291,9395719,K02472.01,Kepler-1250 b,CONFIRMED,1.0,2.6075451590000003,2.07,14.27,1,1.0,1.096,1.193
2292,8753896,K02473.01,Kepler-389 b,CONFIRMED,1.0,3.24417541,1.84,8.49,3,1.0,0.87,0.813
2296,11295426,K00246.02,Kepler-68 c,CONFIRMED,1.0,9.60505976,0.91,20.76,2,2.0,1.198,0.997
2300,8757824,K02552.01,Kepler-1275 b,CONFIRMED,0.998,3.65690909,1.32,13.35,1,1.0,1.271,1.162
2302,6124512,K02627.01,Kepler-1296 b,CONFIRMED,0.996,8.38395796,3.24,5.94,1,1.0,2.605,1.365
2303,10070468,K02628.01,Kepler-1297 b,CONFIRMED,0.998,1.68189051,1.27,4.0,1,1.0,1.374,1.068
2306,11337566,K02632.01,Kepler-1298 b,CONFIRMED,1.0,7.12815163,1.36,9.74,1,1.0,1.994,1.443
2309,5007345,K02406.01,Kepler-1225 b,CONFIRMED,1.0,7.01074295,3.76,22.6,1,1.0,2.476,1.243
2310,12120484,K02407.01,Kepler-1226 b,CONFIRMED,0.993,17.292263100000003,2.13,10.01,1,1.0,1.2990000000000002,1.122
2311,6429812,K02408.01,Kepler-1227 b,CONFIRMED,0.998,94.289223,2.11,143.4,1,1.0,0.904,1.026
2316,11403389,K02482.01,Kepler-1251 b,CONFIRMED,1.0,45.0909201,2.44,27.5,1,1.0,0.9,0.998
2317,9851662,K02483.01,Kepler-1252 b,CONFIRMED,0.995,15.0539886,1.44,12.98,1,1.0,0.818,0.7340000000000001
2321,8733898,K02842.01,Kepler-446 b,CONFIRMED,1.0,1.565412613,1.73,16.57,3,1.0,0.328,0.328
2322,8733898,K02842.02,Kepler-446 d,CONFIRMED,0.992,5.14892346,1.72,31.2,3,3.0,0.328,0.328
2326,7090524,K02920.01,Kepler-1386 b,CONFIRMED,0.98,6.73968289,1.48,9.45,1,1.0,1.176,0.92
2327,11133306,K00276.01,Kepler-509 b,CONFIRMED,0.999,41.74598855,2.4,70.36,1,1.0,1.171,1.034
2329,5871985,K02703.01,Kepler-1318 b,CONFIRMED,1.0,213.258526,2.72,217.8,1,1.0,0.637,0.659
2330,8292840,K00260.02,Kepler-126 d,CONFIRMED,1.0,100.2830675,2.51,61.1,3,1.0,1.297,1.0590000000000002
2331,9730163,K02704.01,Kepler-445 c,CONFIRMED,1.0,4.871223664,1.56,19.11,3,1.0,0.18,0.153
2332,9730163,K02704.02,Kepler-445 b,CONFIRMED,0.939,2.9841577110000004,0.92,17.06,3,2.0,0.18,0.153
2333,11453592,K02705.01,Kepler-1319 b,CONFIRMED,1.0,2.8867624,1.24,10.36,1,1.0,0.389,0.415
2340,10591855,K02845.01,Kepler-1367 b,CONFIRMED,1.0,1.574090323,0.93,7.72,1,1.0,0.65,0.731
2343,9451706,K00271.03,Kepler-127 b,CONFIRMED,1.0,14.4359459,1.46,25.9,3,3.0,1.352,1.225
2344,10064256,K02849.01,Kepler-1692 b,CONFIRMED,1.0,5.95958637,1.02,15.35,1,1.0,0.9,1.012
2348,7609553,K02924.01,Kepler-1387 b,CONFIRMED,0.999,2.279523364,0.87,10.87,2,1.0,0.797,0.76
2349,10122538,K02926.01,Kepler-1388 b,CONFIRMED,1.0,12.285471800000002,2.21,31.15,5,2.0,0.564,0.605
2350,10122538,K02926.02,Kepler-1388 c,CONFIRMED,0.976,5.53609368,2.2,12.37,5,1.0,0.564,0.605
2352,5480640,K02707.01,Kepler-399 d,CONFIRMED,0.998,58.0337426,3.21,81.4,3,1.0,1.152,0.902
2353,5480640,K02707.02,Kepler-399 b,CONFIRMED,0.998,14.425263500000002,1.68,29.75,3,3.0,1.152,0.902
2354,5480640,K02707.03,Kepler-399 c,CONFIRMED,0.997,26.675781800000006,2.69,55.3,3,2.0,1.152,0.902
2355,5175986,K02708.01,Kepler-1320 b,CONFIRMED,0.0,0.8683863540000001,1.52,6.319,1,1.0,0.7040000000000001,0.7929999999999999
2356,9008737,K02768.01,Kepler-404 b,CONFIRMED,,11.8288843,1.18,26.47,3,1.0,0.857,0.952
2357,9008737,K02768.02,Kepler-404 c,CONFIRMED,,14.7512034,1.63,46.7,3,,0.857,0.952
2360,6521045,K00041.02,Kepler-100 b,CONFIRMED,1.0,6.88707073,1.3,8.62,3,2.0,1.474,1.05
2365,6294819,K02852.01,Kepler-1368 b,CONFIRMED,0.998,0.6756504040000001,1.36,2.923,1,1.0,0.961,1.0490000000000002
2371,11401755,K00277.01,Kepler-36 c,CONFIRMED,1.0,16.23191704,3.54,16.968,2,1.0,1.585,1.009
2374,8292840,K00260.03,Kepler-126 c,CONFIRMED,1.0,21.86965714,1.51,25.54,3,3.0,1.297,1.0590000000000002
2375,5272233,K02711.01,Kepler-400 b,CONFIRMED,1.0,9.02436414,1.62,23.21,2,1.0,1.111,1.004
2376,5272233,K02711.02,Kepler-400 c,CONFIRMED,0.992,17.340873499999994,1.43,34.5,2,2.0,1.111,1.004
2385,5688910,K02856.01,Kepler-1369 b,CONFIRMED,0.918,25.8730914,2.88,39.08,1,1.0,1.093,1.048
2386,6345732,K02857.01,Kepler-1370 b,CONFIRMED,1.0,20.2642023,2.12,14.66,2,1.0,1.291,1.084
2388,6345732,K02857.02,Kepler-1370 c,CONFIRMED,0.931,7.44136102,1.33,6.63,2,2.0,1.291,1.084
2389,8611257,K02931.01,Kepler-1389 b,CONFIRMED,0.999,99.2532336,2.17,42.1,1,1.0,0.715,0.7979999999999999
2393,10880507,K02936.01,Kepler-1390 b,CONFIRMED,0.73,6.4802138,1.26,10.71,1,1.0,0.983,0.92
2396,12206313,K02714.01,Kepler-401 b,CONFIRMED,0.982,14.3832267,1.84,9.64,3,1.0,1.291,1.077
2397,12206313,K02714.02,Kepler-401 c,CONFIRMED,0.998,47.3186631,2.1,34.45,3,2.0,1.291,1.077
2398,9837661,K02715.01,Kepler-1321 b,CONFIRMED,1.0,11.12827427,4.04,29.1,3,1.0,0.503,0.513
2399,7769819,K02778.01,Kepler-1342 b,CONFIRMED,1.0,2.21571296,1.7,5.95,1,1.0,0.901,0.83
2401,12164564,K02780.01,Kepler-1343 b,CONFIRMED,0.996,3.35184041,1.88,13.08,1,1.0,1.005,1.072
2404,10397751,K02859.01,Kepler-1371 b,CONFIRMED,1.0,3.4462125,0.7,9.09,5,1.0,0.721,0.68
2405,10397751,K02859.02,Kepler-1371 c,CONFIRMED,0.8290000000000001,2.0054142930000003,0.65,4.09,5,2.0,0.721,0.68
2409,9642292,K02946.01,Kepler-1392 b,CONFIRMED,0.997,15.1408916,1.93,26.83,1,1.0,0.887,0.978
2412,4991208,K02951.01,Kepler-1393 b,CONFIRMED,0.998,2.44358543,0.67,9.83,1,1.0,0.873,0.85
2414,9837661,K02715.02,Kepler-1321 c,CONFIRMED,1.0,2.226496196,2.1,10.35,3,2.0,0.503,0.513
2416,9092504,K02716.01,Kepler-1322 b,CONFIRMED,1.0,0.962864171,1.52,3.19,2,1.0,0.804,0.897
2417,5383248,K00261.01,Kepler-96 b,CONFIRMED,1.0,16.23847733,2.76,21.3,1,1.0,0.993,0.951
2419,10001368,K02785.01,Kepler-1344 b,CONFIRMED,1.0,4.76831033,1.78,11.23,1,1.0,1.116,1.069
2420,9466429,K02786.01,Kepler-1345 b,CONFIRMED,0.996,44.616751,2.31,35.0,1,1.0,1.4240000000000002,1.235
2422,8885643,K02789.01,Kepler-1346 b,CONFIRMED,1.0,3.40165617,1.34,6.08,1,1.0,0.906,0.982
2423,5652893,K02790.01,Kepler-1347 b,CONFIRMED,1.0,14.00948631,0.98,30.72,1,1.0,0.767,0.763
2426,8681833,K02865.01,Kepler-1372 b,CONFIRMED,0.982,1.3115589090000002,1.15,5.189,1,1.0,0.963,1.072
2427,4138951,K02866.01,Kepler-1373 b,CONFIRMED,0.99,1.291233083,0.89,5.29,1,1.0,1.086,1.129
2428,3102384,K00273.01,Kepler-454 b,CONFIRMED,1.0,10.573751447000001,2.07,30.3,1,1.0,1.08,1.067
2429,10471515,K02961.01,Kepler-1395 b,CONFIRMED,0.992,3.784750700000001,0.7,9.96,1,1.0,1.206,1.126
2431,8760040,K02963.01,Kepler-1396 b,CONFIRMED,0.999,18.2206024,1.78,27.39,2,1.0,1.262,1.117
2433,10098844,K02964.01,Kepler-1397 b,CONFIRMED,0.985,47.44971339999999,1.61,34.4,2,1.0,1.126,1.042
2434,9467404,K02717.01,Kepler-1323 b,CONFIRMED,1.0,0.929906166,1.48,4.136,1,1.0,1.413,1.075
2436,5184911,K02719.01,Kepler-1324 b,CONFIRMED,1.0,4.11585514,1.93,13.28,2,1.0,0.823,0.7959999999999999
2438,6587105,K02721.01,Kepler-1325 b,CONFIRMED,1.0,33.878639,3.52,19.1,1,1.0,1.072,0.933
2439,11662184,K02791.01,Kepler-1348 b,CONFIRMED,0.995,27.5722144,1.94,33.9,1,1.0,1.09,1.079
2440,11127479,K02792.01,Kepler-1349 b,CONFIRMED,1.0,2.12821621,0.7,5.2,1,1.0,1.3769999999999998,1.168
2446,8884274,K02868.01,Kepler-1374 b,CONFIRMED,1.0,10.65275054,2.2,31.03,1,1.0,0.8170000000000001,0.913
2447,7767162,K02869.01,Kepler-1375 b,CONFIRMED,1.0,3.30040818,1.43,5.732,2,1.0,1.4380000000000002,1.279
2451,9838468,K02943.01,Kepler-1391 b,CONFIRMED,0.948,54.40996120000001,1.56,44.65,1,1.0,1.133,0.954
2454,11401755,K00277.02,Kepler-36 b,CONFIRMED,0.063,13.84984567,1.45,14.67,2,2.0,1.585,1.009
2455,7673192,K02722.01,Kepler-402 c,CONFIRMED,0.98,6.12479773,1.51,8.57,5,1.0,1.202,1.015
2456,7673192,K02722.02,Kepler-402 e,CONFIRMED,1.0,11.24284815,1.44,17.57,5,3.0,1.202,1.015
2457,7673192,K02722.03,Kepler-402 b,CONFIRMED,0.997,4.02877097,1.21,9.63,5,2.0,1.202,1.015
2458,7673192,K02722.04,Kepler-402 d,CONFIRMED,0.999,8.92114318,1.27,17.38,5,4.0,1.202,1.015
2459,11807274,K00262.01,Kepler-50 b,CONFIRMED,1.0,7.81285862,1.68,14.714,2,2.0,1.543,1.187
2461,6697756,K02798.01,Kepler-1351 b,CONFIRMED,0.992,0.916142298,0.6,5.98,1,1.0,0.614,0.6
2465,10793172,K02871.01,Kepler-1693 b,CONFIRMED,0.989,12.0999065,1.39,26.04,4,1.0,1.098,0.941
2471,8801316,K02956.01,Kepler-1394 b,CONFIRMED,1.0,3.93766786,1.36,6.355,1,1.0,2.741,1.465
2475,12314973,K00279.01,Kepler-450 b,CONFIRMED,1.0,28.45489091,6.08,24.17,3,1.0,1.5730000000000002,1.305
2481,5775129,K02802.01,Kepler-1691 b,CONFIRMED,0.988,3.84822189,1.72,13.8,1,1.0,1.193,1.094
2484,11135308,K02805.01,Kepler-1352 b,CONFIRMED,0.999,1.877878538,0.78,5.89,1,1.0,1.115,1.017
2486,6521045,K00041.03,Kepler-100 d,CONFIRMED,1.0,35.33319320000001,1.55,34.7,3,3.0,1.474,1.05
2487,8077137,K00274.01,Kepler-128 b,CONFIRMED,1.0,15.0896415,1.42,26.81,2,1.0,1.6130000000000002,1.092
2488,7019524,K02877.01,Kepler-1376 b,CONFIRMED,0.981,5.30873978,1.08,13.39,1,1.0,0.955,1.011
2489,5106313,K02878.01,Kepler-1694 b,CONFIRMED,0.991,3.89524296,1.13,17.4,1,1.0,0.838,0.795
2490,9825174,K02880.01,Kepler-1377 b,CONFIRMED,0.993,0.740926358,1.22,5.561,1,1.0,0.8740000000000001,0.87
2497,12008872,K02729.01,Kepler-1327 b,CONFIRMED,1.0,14.8877665,1.96,14.47,1,1.0,1.116,1.001
2498,8415200,K02730.01,Kepler-1328 b,CONFIRMED,0.989,4.52158614,1.31,9.86,1,1.0,1.289,0.963
2500,9886361,K02732.01,Kepler-403 b,CONFIRMED,1.0,7.03146295,1.38,9.165,4,1.0,1.499,1.2819999999999998
2501,9886361,K02732.03,Kepler-403 c,CONFIRMED,0.986,54.2811949,2.07,41.4,4,3.0,1.499,1.2819999999999998
2503,6528464,K00270.01,Kepler-449 b,CONFIRMED,1.0,12.58229808,1.53,15.223,2,1.0,1.423,0.911
2509,5209845,K02883.01,Kepler-1378 b,CONFIRMED,1.0,11.95401876,2.1,24.5,1,1.0,0.659,0.648
2512,6129524,K02886.01,Kepler-1379 b,CONFIRMED,1.0,0.88184263,1.24,4.71,1,1.0,0.7759999999999999,0.871
2513,5794570,K02675.01,Kepler-1312 b,CONFIRMED,1.0,5.448321077999999,2.17,15.33,2,1.0,0.905,0.983
2517,6779260,K02678.01,Kepler-1313 b,CONFIRMED,1.0,3.833087643,2.25,8.33,2,1.0,0.831,0.878
2518,11807274,K00262.02,Kepler-50 c,CONFIRMED,1.0,9.37663713,1.89,19.78,2,1.0,1.543,1.187
2519,5953297,K02733.01,Kepler-1688 b,CONFIRMED,1.0,5.62006198,1.45,4.95,1,1.0,0.746,0.8140000000000001
2522,10842192,K02736.01,Kepler-1329 b,CONFIRMED,1.0,9.33648141,2.39,14.26,1,1.0,0.648,0.637
2523,2442448,K02812.01,Kepler-1354 b,CONFIRMED,0.997,76.6139446,2.61,32.6,1,1.0,1.03,0.988
2526,11283615,K02816.01,Kepler-1355 b,CONFIRMED,1.0,1.2895901790000002,1.38,6.82,1,1.0,0.8079999999999999,0.906
2527,7605093,K02817.01,Kepler-1356 b,CONFIRMED,1.0,0.634003002,1.35,5.03,1,1.0,0.75,0.84
2529,8077137,K00274.02,Kepler-128 c,CONFIRMED,1.0,22.8030252,1.29,35.24,2,2.0,1.6130000000000002,1.092
2536,6878240,K02681.01,Kepler-397 c,CONFIRMED,1.0,135.4978256,6.01,108.5,2,1.0,0.757,0.782
2537,6878240,K02681.02,Kepler-397 b,CONFIRMED,0.96,22.2508509,2.07,65.7,2,2.0,0.757,0.782
2541,4831728,K02739.01,Kepler-1330 b,CONFIRMED,1.0,10.10773789,1.98,20.27,2,1.0,1.1740000000000002,0.915
2545,6528464,K00270.02,Kepler-449 c,CONFIRMED,0.797,33.67280658,1.86,30.14,2,2.0,1.423,0.911
2546,11963206,K02820.01,Kepler-1357 b,CONFIRMED,1.0,3.00912491,1.22,10.461,1,1.0,0.893,1.01
2551,6937402,K02894.01,Kepler-1380 b,CONFIRMED,1.0,10.3108232,1.27,14.1,1,1.0,0.893,0.967
2561,8095441,K02743.01,Kepler-1332 b,CONFIRMED,1.0,11.87457664,1.32,42.0,1,1.0,0.88,0.907
2562,5881813,K02744.01,Kepler-1333 b,CONFIRMED,0.987,109.6469948,4.85,83.4,2,1.0,1.453,0.932
2563,12456601,K02745.01,Kepler-1334 b,CONFIRMED,0.995,15.64588656,2.18,30.84,1,1.0,0.916,1.008
2568,7428736,K02827.01,Kepler-1358 b,CONFIRMED,0.993,7.06321927,1.21,18.92,1,1.0,0.818,0.753
2570,11129258,K02898.01,Kepler-1381 b,CONFIRMED,0.999,25.384175,2.44,53.84,1,1.0,0.994,1.067
2571,10586004,K00275.01,Kepler-129 b,CONFIRMED,0.952,15.79196594,2.4,16.794,2,1.0,1.704,1.251
2575,6521045,K00041.01,Kepler-100 c,CONFIRMED,1.0,12.81590421,2.26,12.77,3,1.0,1.474,1.05
2577,8892303,K02688.01,Kepler-1314 b,CONFIRMED,1.0,5.424749327000001,5.15,39.29,1,1.0,0.591,0.58
2581,6586746,K02747.01,Kepler-1335 b,CONFIRMED,1.0,6.26404774,1.55,19.85,1,1.0,0.8170000000000001,0.789
2582,9962455,K02748.01,Kepler-1336 b,CONFIRMED,0.933,23.1985852,2.61,17.45,2,1.0,1.756,1.004
2583,9962455,K02748.02,Kepler-1336 c,CONFIRMED,0.992,5.77721259,2.17,13.24,2,2.0,1.756,1.004
2585,6436029,K02828.01,Kepler-1359 b,CONFIRMED,0.993,59.49690089999999,2.92,79.8,2,1.0,0.833,0.8
2587,9451706,K00271.01,Kepler-127 d,CONFIRMED,0.999,48.6303805,2.48,53.32,3,2.0,1.352,1.225
2588,9244508,K02830.01,Kepler-1360 b,CONFIRMED,0.989,40.5289885,5.92,28.16,1,1.0,3.0860000000000003,1.907
2592,3969687,K02904.01,Kepler-1382 b,CONFIRMED,0.996,16.3583482,2.23,6.24,1,1.0,1.765,1.3769999999999998
2594,6716545,K02906.01,Kepler-1383 b,CONFIRMED,0.901,13.9093544,1.33,15.715,3,1.0,1.4240000000000002,1.128
2597,5185897,K02693.01,Kepler-398 b,CONFIRMED,0.998,4.081411554,1.0,6.93,3,1.0,0.635,0.698
2598,5185897,K02693.02,Kepler-398 c,CONFIRMED,0.988,11.41941928,0.99,11.41,3,3.0,0.635,0.698
2599,5185897,K02693.03,Kepler-398 d,CONFIRMED,0.992,6.83440674,1.01,11.99,3,2.0,0.635,0.698
2601,9881077,K02751.01,Kepler-1337 b,CONFIRMED,0.996,24.4004378,2.47,30.7,1,1.0,0.674,0.669
2604,6265792,K02753.01,Kepler-1338 b,CONFIRMED,0.975,0.935115863,1.05,4.362,1,1.0,1.297,1.096
2605,9995402,K02832.01,Kepler-1361 b,CONFIRMED,0.991,3.57551429,0.89,10.38,1,1.0,0.917,0.8320000000000001
2607,5609593,K02834.01,Kepler-1362 b,CONFIRMED,1.0,136.205112,2.35,169.7,1,1.0,0.675,0.711
2609,11414465,K02836.01,Kepler-1363 b,CONFIRMED,1.0,2.94194296,1.22,11.1,1,1.0,0.758,0.733
2613,10586004,K00275.02,Kepler-129 c,CONFIRMED,0.8029999999999999,82.20012390000002,2.57,59.91,2,2.0,1.704,1.251
2614,4483138,K02910.01,Kepler-1384 b,CONFIRMED,0.887,15.3626052,1.8,31.05,1,1.0,0.851,0.8059999999999999
2615,9475552,K02694.01,Kepler-1315 b,CONFIRMED,1.0,0.843379985,1.7,3.41,2,1.0,0.856,0.809
2617,8292840,K00260.01,Kepler-126 b,CONFIRMED,1.0,10.49566303,1.34,16.89,3,2.0,1.297,1.0590000000000002
2621,10905911,K02754.01,Kepler-1339 b,CONFIRMED,0.8440000000000001,1.34155642,0.74,6.089,1,1.0,0.97,0.945
2622,3545135,K02755.01,Kepler-1689 b,CONFIRMED,0.995,8.48299282,0.8,21.6,1,1.0,0.933,0.94
2623,6964929,K02756.01,Kepler-1340 b,CONFIRMED,0.941,0.665025941,1.11,2.71,2,1.0,1.07,1.07
2624,6432345,K02757.01,Kepler-1690 b,CONFIRMED,0.998,234.635652,2.56,264.1,1,1.0,0.885,0.867
